Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Fare
2,12,3,6,30,16,35,10,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,23528
1,9,5,11,30,12,35,25,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12373
1,24,4,15,45,22,5,6,20,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5583
1,21,3,12,50,1,35,12,45,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,7695
2,24,6,17,15,19,15,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11972
0,9,4,17,10,19,40,2,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3873
0,3,4,9,45,12,35,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5403
0,15,6,22,15,0,50,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4804
0,9,6,6,25,7,55,1,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4049
0,1,3,17,15,19,45,2,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5515
1,15,5,17,0,14,25,21,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11467
1,9,5,20,0,18,15,22,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7757
1,24,5,20,20,23,25,27,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9345
2,12,6,5,30,4,25,22,55,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13292
0,24,6,22,20,0,40,2,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3841
0,15,6,9,0,11,25,2,25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3841
0,27,6,7,10,10,5,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4823
0,21,3,18,5,21,10,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5674
2,27,6,23,5,4,25,29,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15339
2,1,5,7,0,5,25,22,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14424
0,9,3,22,20,0,40,2,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4622
1,24,6,13,0,19,15,6,15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8372
2,27,5,13,25,12,35,23,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15129
1,1,4,18,55,8,15,13,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12681
1,18,5,7,55,22,25,14,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7452
0,12,6,8,20,11,20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5769
2,12,6,21,25,12,35,15,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11507
0,15,3,19,5,20,30,1,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2754
1,6,6,7,0,19,15,12,15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8669
1,24,5,14,5,23,35,9,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14571
1,24,5,20,25,21,5,24,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14151
1,27,6,14,20,22,30,8,10,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6412
1,12,6,18,55,4,40,9,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6959
0,21,4,6,5,8,50,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4423
1,1,5,20,25,23,35,27,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11467
0,9,5,9,45,12,0,2,15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3597
0,9,5,22,45,0,15,1,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2017
1,6,6,8,25,18,15,9,50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10844
1,9,5,20,45,7,10,10,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6751
0,24,6,22,15,0,50,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4804
0,9,6,9,0,11,25,2,25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3841
0,3,6,5,45,7,15,1,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2753
0,3,3,0,40,3,25,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6860
1,15,3,11,50,13,0,25,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8032
0,24,4,21,5,23,55,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5228
0,27,3,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2071
1,21,5,10,0,23,15,13,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11936
2,6,6,5,30,19,0,13,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10368
1,3,6,11,25,21,0,9,35,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6093
2,3,6,9,35,12,35,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13292
0,27,3,2,55,4,25,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5678
1,9,5,19,15,4,25,9,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12373
2,1,6,5,30,4,25,22,55,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10368
