Unnamed: 0,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
8990,Jet Airways,12/03/2019,Mumbai,Hyderabad,BOM → VNS → DEL → HYD,06:30,16:35,10h 5m,2 stops,No info,23528
3684,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,12:35 10 May,25h 5m,1 stop,In-flight meal not included,12373
1034,SpiceJet,24/04/2019,Delhi,Cochin,DEL → MAA → COK,15:45,22:05,6h 20m,1 stop,No info,5583
3909,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:35 22 Mar,12h 45m,1 stop,No info,7695
3088,Air India,24/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 25 Jun,26h,2 stops,No info,11972
5426,SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,3873
906,Vistara,3/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403
7171,IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 16 Jun,2h 35m,non-stop,No info,4804
6535,IndiGo,9/06/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
3677,SpiceJet,1/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,5515
8211,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 16 May,21h 25m,1 stop,No info,11467
6386,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,18:15 10 May,22h 15m,1 stop,In-flight meal not included,7757
9071,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 25 May,27h 5m,1 stop,No info,9345
10589,Jet Airways,12/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,04:25 13 Jun,22h 55m,2 stops,No info,13292
7012,SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 25 Jun,2h 20m,non-stop,No check-in baggage included,3841
3413,SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
4459,IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
3060,Air India,21/03/2019,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,5674
4091,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,15339
5825,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,05:25 02 May,22h 25m,2 stops,No info,14424
6751,SpiceJet,9/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 10 Mar,2h 20m,non-stop,No info,4622
7250,Air India,24/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372
1901,Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 28 May,23h 10m,2 stops,No info,15129
4696,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 02 Apr,13h 20m,1 stop,No info,12681
1569,Air Asia,18/05/2019,Delhi,Cochin,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,7452
10430,Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,5769
347,Jet Airways,12/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 13 Jun,15h 10m,2 stops,In-flight meal not included,11507
1242,IndiGo,15/03/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:30,1h 25m,non-stop,No info,2754
6252,Air India,6/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,8669
7988,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No info,14571
5199,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05 25 May,24h 40m,1 stop,No info,14151
5400,IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,6412
3685,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 13 Jun,9h 45m,1 stop,In-flight meal not included,6959
7288,IndiGo,21/04/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4423
9317,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 02 May,27h 10m,1 stop,No info,11467
8102,SpiceJet,9/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No info,3597
7841,SpiceJet,9/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 10 May,1h 30m,non-stop,No info,2017
2648,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844
6603,Air Asia,9/05/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 10 May,10h 25m,1 stop,No info,6751
